ngen	score	Alleles	Pin	Tin	Xin	Pout	Mflow	Nrot	Type	Speed
1100	1000	genome	1.89778e+006	370.402	1	535166	0.35	50	1	0
1110	1000	genome	1.66537e+006	361.34	1	776344	0.35	50	1	0
1120	1000	genome	1.95705e+006	361.608	1	618307	0.35	50	1	0
1130	1000	genome	1.99376e+006	368.401	1	744128	0.35	50	1	0
1140	1000	genome	1.35427e+006	371.835	1	719101	0.35	50	1	0
1150	1000	genome	1.26607e+006	368.86	1	607086	0.35	50	1	0
1160	1000	genome	1.85756e+006	371.789	1	713128	0.35	50	1	0
1170	1000	genome	1.65012e+006	366.683	1	641694	0.35	50	1	0
1180	1000	genome	2.14181e+006	367.961	1	638662	0.35	50	1	0
1190	1000	genome	1.49434e+006	371.153	1	631657	0.35	50	1	0
1200	1000	genome	2.05568e+006	356.592	1	594995	0.35	50	1	0
1210	1000	genome	1.30995e+006	357.106	1	584039	0.35	50	1	0
1220	1000	genome	2.1101e+006	369.788	1	769670	0.35	50	1	0
1230	1000	genome	1.65012e+006	366.756	1	593666	0.35	50	1	0
1240	1000	genome	1.3434e+006	370.352	1	750851	0.35	50	1	0
1250	1000	genome	1.57273e+006	356.329	1	726137	0.35	50	1	0
1260	1000	genome	1.7558e+006	364.82	1	702865	0.35	50	1	0
1270	1000	genome	1.7558e+006	363.22	1	648995	0.35	50	1	0
1280	1000	genome	1.63793e+006	353.323	1	648995	0.35	50	1	0
1290	1000	genome	2.02469e+006	365.481	1	614377	0.35	50	1	0
1300	1000	genome	1.37244e+006	370.686	1	697990	0.35	50	1	0
1310	1000	genome	2.18112e+006	371.845	1	773388	0.35	50	1	0
1320	1000	genome	1.85851e+006	362.39	1	796278	0.35	50	1	0
1330	1000	genome	2.12185e+006	369.125	1	699464	0.35	50	1	0
1340	1000	genome	1.34576e+006	357.799	1	630168	0.35	50	1	0
1350	1000	genome	1.42032e+006	371.326	1	667411	0.35	50	1	0
1360	1000	genome	1.62277e+006	360.28	1	587088	0.35	50	1	0
1370	1000	genome	1.62277e+006	358.143	1	548082	0.35	50	1	0
1380	1000	genome	2.13771e+006	365.577	1	668610	0.35	50	1	0
1390	1000	genome	1.53817e+006	370.008	1	528073	0.35	50	1	0
1400	1000	genome	1.96938e+006	353.441	1	703168	0.35	50	1	0
1410	1000	genome	1.83375e+006	353.547	1	604089	0.35	50	1	0
1420	1000	genome	1.96441e+006	366.504	1	742119	0.35	50	1	0
1430	1000	genome	1.82021e+006	368.726	1	657546	0.35	50	1	0
1440	1000	genome	1.29033e+006	356.232	1	689825	0.35	50	1	0
1450	1000	genome	2.04347e+006	357.833	1	552330	0.35	50	1	0
1460	1000	genome	2.16345e+006	367.492	1	607230	0.35	50	1	0
1470	1000	genome	1.61301e+006	363.338	1	694625	0.35	50	1	0
1480	1000	genome	2.14537e+006	353.711	1	794345	0.35	50	1	0
1490	1000	genome	1.9231e+006	370.903	1	662714	0.35	50	1	0
1500	1000	genome	1.89969e+006	356.949	1	674021	0.35	50	1	0
1510	1000	genome	1.97601e+006	361.576	1	718932	0.35	50	1	0
1520	1000	genome	1.89969e+006	372.025	1	561327	0.35	50	1	0
1530	1000	genome	1.60446e+006	366.749	1	671146	0.35	50	1	0
1540	1000	genome	1.46573e+006	358.644	1	687729	0.35	50	1	0
1550	1000	genome	2.01571e+006	372.025	1	504192	0.35	50	1	0
1560	1000	genome	1.74641e+006	358.666	1	599563	0.35	50	1	0
1570	1000	genome	1.42279e+006	370.296	1	664054	0.35	50	1	0
1580	1000	genome	1.83489e+006	359.686	1	591006	0.35	50	1	0
1590	1000	genome	1.71441e+006	361.409	1	599903	0.35	50	1	0
1600	1000	genome	1.9279e+006	362.276	1	787874	0.35	50	1	0
1610	1000	genome	2.14558e+006	363.288	1	795566	0.35	50	1	0
1620	1000	genome	1.94493e+006	360.031	1	644966	0.35	50	1	0
1630	1000	genome	1.9648e+006	368.625	1	592177	0.35	50	1	0
1640	1000	genome	1.9648e+006	368.625	1	673563	0.35	50	1	0
1650	1000	genome	1.63714e+006	362.304	1	507301	0.35	50	1	0
1660	1000	genome	1.53176e+006	362.974	1	510995	0.35	50	1	0
1670	1000	genome	1.55346e+006	368.982	1	604799	0.35	50	1	0
1680	1000	genome	1.81938e+006	366.195	1	571145	0.35	50	1	0
1690	1000	genome	1.7701e+006	359.29	1	723066	0.35	50	1	0
1700	1000	genome	2.1353e+006	363.739	1	526187	0.35	50	1	0
1710	1000	genome	1.88166e+006	365.486	1	764687	0.35	50	1	0
1720	1000	genome	1.67265e+006	361.279	1	705460	0.35	50	1	0
1730	1000	genome	1.42977e+006	360.868	1	737947	0.35	50	1	0
1740	1000	genome	1.66783e+006	366.314	1	701622	0.35	50	1	0
1750	1000	genome	2.13094e+006	364.401	1	501961	0.35	50	1	0
1760	1000	genome	2.1825e+006	360.433	1	686988	0.35	50	1	0
1770	1000	genome	1.74348e+006	370.752	1	748203	0.35	50	1	0
1780	1000	genome	1.87064e+006	359.046	1	610634	0.35	50	1	0
1790	1000	genome	1.81917e+006	370.776	1	614044	0.35	50	1	0
1800	1000	genome	1.72859e+006	367.214	1	500387	0.35	50	1	0
1810	1000	genome	1.41942e+006	371.303	1	656325	0.35	50	1	0
1820	1000	genome	1.64392e+006	357.593	1	758323	0.35	50	1	0
1830	1000	genome	1.20381e+006	357.409	1	639520	0.35	50	1	0
1840	1000	genome	1.99853e+006	363.421	1	643137	0.35	50	1	0
1850	1000	genome	1.8718e+006	361.733	1	586254	0.35	50	1	0
1860	1000	genome	1.60577e+006	355.926	1	511686	0.35	50	1	0
1870	1000	genome	1.572e+006	367.563	1	714344	0.35	50	1	0
1880	1000	genome	1.33162e+006	368.406	1	677024	0.35	50	1	0
1890	1000	genome	1.60964e+006	359.807	1	537263	0.35	50	1	0
1900	1000	genome	1.91048e+006	357.218	1	573651	0.35	50	1	0
1910	1000	genome	1.60895e+006	362.981	1	773357	0.35	50	1	0
1920	1000	genome	1.59474e+006	362.981	1	571168	0.35	50	1	0
1930	1000	genome	1.72571e+006	362.956	1	719244	0.35	50	1	0
1940	1000	genome	1.67867e+006	371.951	1	788800	0.35	50	1	0
1950	1000	genome	1.20812e+006	371.659	1	516421	0.35	50	1	0
1960	1000	genome	2.00992e+006	356.329	1	564810	0.35	50	1	0
1970	1000	genome	2.11072e+006	365.083	1	635012	0.35	50	1	0
1980	1000	genome	1.24687e+006	368.049	1	675116	0.35	50	1	0
1990	1000	genome	1.33764e+006	359.894	1	598214	0.35	50	1	0
2000	1000	genome	1.98835e+006	358.001	1	718380	0.35	50	1	0
